delta_call,delta_put,weeks,equity_final,cagr,sharpe_w,max_dd,calmar,win_rate,usd_final,bh_final,max_dd_usd
0.4,0.55,208,4.548070833067941,0.46034949553985216,3.807013484900546,-0.08479629355772766,5.428886997595658,0.7980769230769231,6.946430068321541,1.5273355062581035,-0.11941999668128811
0.4,0.6,208,4.806712007296881,0.48068277966185513,3.7043333393537083,-0.08479629355772755,5.668676772229629,0.7740384615384616,7.34146191710168,1.5273355062581035,-0.13167716420049336
0.45,0.05,208,1.9043924431186694,0.1747328470749432,2.300995474644712,-0.12030577334594328,1.452406166514495,0.7788461538461539,2.9086461962247565,1.5273355062581035,-0.0641910850672398
0.45,0.1,208,1.9927840538836203,0.18813300383894882,2.371717232329835,-0.11865458552262953,1.58555190269548,0.7692307692307693,3.04364984180142,1.5273355062581035,-0.08021554387357077
0.45,0.15,208,2.1852425955742976,0.2158357647350837,2.560674255583893,-0.11740637238833329,1.838364991136813,0.7788461538461539,3.3375986060082425,1.5273355062581035,-0.09198952157162643
0.45,0.2,208,2.392187589428853,0.243651815635459,2.774713326024356,-0.11506415108723156,2.117530206699596,0.7836538461538461,3.6536730429646673,1.5273355062581035,-0.09708425906152596
0.45,0.25,208,2.6508764827872513,0.27599030047316786,2.9715183537641447,-0.11506415108723156,2.3985776444301594,0.7788461538461539,4.048777774865557,1.5273355062581035,-0.10383294802608778
0.45,0.3,208,2.947740610025605,0.3103047522977538,3.1697262153036605,-0.10987745727651088,2.824098409165584,0.7692307692307693,4.502188896931027,1.5273355062581035,-0.10383294802608789
0.45,0.35,208,3.1658185007999022,0.3338945655524874,3.2232221262861955,-0.10987745727651088,3.038790429161723,0.7692307692307693,4.8352670026404905,1.5273355062581035,-0.10825212787140703
0.45,0.4,208,3.523868177813785,0.3701083510897223,3.4612410127209015,-0.10376493189364733,3.5667960681462265,0.7836538461538461,5.382128987348043,1.5273355062581035,-0.1117395040690291
0.45,0.45,208,3.671122336904878,0.3842027709922602,3.3981363915827756,-0.10376493189364722,3.702626349584509,0.7884615384615384,5.607035492972048,1.5273355062581035,-0.1117395040690291
0.45,0.5,208,4.02289985149447,0.4162333114443586,3.5605233111204746,-0.10042926512380768,4.144542040920368,0.7980769230769231,6.144317781307959,1.5273355062581035,-0.11615868391434825
0.45,0.55,208,4.4640033631606055,0.45355385840823215,3.790540113882495,-0.09240621270006255,4.908261524367453,0.7932692307692307,6.818030836610773,1.5273355062581035,-0.11615868391434825
0.45,0.6,208,4.719913895327515,0.47395260497265435,3.7215726309595247,-0.09240621270006288,5.1290123372011305,0.7884615384615384,7.208892078814707,1.5273355062581035,-0.1255612265328626
0.5,0.05,208,1.7657564317427943,0.15274354559233183,1.9027976723857214,-0.12320539377222639,1.2397472295304988,0.7163461538461539,2.696902493604389,1.5273355062581035,-0.0641910850672398
0.5,0.1,208,1.8479688824017342,0.1659331851114869,1.9968723759560822,-0.12117405992342001,1.3693787698155357,0.7163461538461539,2.8224684885522695,1.5273355062581035,-0.08021554387357066
0.5,0.15,208,2.0269015303865157,0.19318603745386254,2.213276319505071,-0.11992941501672971,1.610831149530028,0.7307692307692307,3.095758675048211,1.5273355062581035,-0.09198952157162643
0.5,0.2,208,2.2190477765629724,0.22051090246640115,2.4348127772102957,-0.11759388934995296,1.8751901453839392,0.7451923076923077,3.3892304592277265,1.5273355062581035,-0.09708425906152596
0.5,0.25,208,2.459371223185831,0.25229319833591624,2.6504828944828165,-0.11553641350123067,2.183668253933024,0.7451923076923077,3.7562849922411368,1.5273355062581035,-0.10383294802608789
0.5,0.3,208,2.735159760785314,0.28601393528598007,2.865702347354645,-0.11035248766577366,2.5918213656608726,0.7403846153846154,4.177506617935819,1.5273355062581035,-0.103832948026088
0.5,0.35,208,2.9393504223004694,0.30937137160561234,2.9879182252626713,-0.1103524876657741,2.8034834388383625,0.7644230769230769,4.48937426531425,1.5273355062581035,-0.10825212787140703
